Unnamed: 0,hsa-mir-210,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-891a,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-63-5128-01,9349,18898,46461,51,6,186,7,60644,314,3,1116,0,0,0,0,0,0,0
TCGA-63-5131-01,3228,23957,19581,24,3,32,4,22463,433,0,4,1,0,0,0,0,0,0
TCGA-63-6202-01,2928,237,160238,83,12,4025,15,193108,720,56,1,11,1,0,565,0,0,16
TCGA-63-7020-01,36465,105966,145522,371,2839,1709,19,269834,4468,71,38,3,8,0,2,2,2,0
TCGA-63-7021-01,12479,160082,64749,135,12,620,27,87045,1458,22,9,4,1,0,0,0,0,0
TCGA-63-7022-01,19921,50759,65775,75,168,406,27,103185,1761,69,63,4,4,0,4,0,41,0
TCGA-63-A5M9-01,4596,29774,30042,111,116,96,14,80393,1232,11,1125,8,0,90,0,1,0,0
TCGA-63-A5MB-01,8501,43309,88005,299,10,1054,19,240072,2690,24,63,0,0,2,0,1,17,0
TCGA-63-A5MG-01,5336,47660,39448,112,319,393,3,145403,5460,14,84,103,22,1,2,0,0,0
TCGA-63-A5MH-01,15652,96365,64946,248,80,2210,20,234282,2142,121,5,21,0,2,0,0,5,0
TCGA-63-A5MI-01,4344,40239,54423,95,43,210,15,148982,2482,47,9,10,0,16,0,0,0,0
TCGA-63-A5MJ-01,3052,30624,40165,168,10,618,2,169651,1087,14,4,2,0,0,0,0,0,0
TCGA-63-A5ML-01,3883,44392,69955,209,72,44,14,251880,2286,5,4887,3,0,0,0,1,0,0
TCGA-63-A5MM-01,7602,54420,8621,43,912,1590,3,31838,4425,198,26,2,15,0,1,0,0,1
TCGA-63-A5MP-01,3444,57036,57202,150,34,456,48,103762,4072,61,168,0,3,13,0,2,0,0
TCGA-63-A5MR-01,18116,87406,16698,81,1623,120,12,66501,4163,17,37,5,1,0,1,0,0,0
TCGA-63-A5MS-01,6939,49085,17345,51,125,1043,13,40373,4430,38,5,3,0,0,1,0,0,0
TCGA-63-A5MT-01,2558,116607,21897,57,371,77,8,55721,2938,20,5,1,0,0,2,0,0,1
TCGA-63-A5MU-01,16986,114754,66102,285,1305,396,7,141166,833,14,11,1,0,0,0,0,0,0
TCGA-63-A5MV-01,12500,77424,20661,81,54,233,39,46550,1815,38,21,84,1,0,0,0,0,0
TCGA-63-A5MW-01,6123,51640,47374,295,938,193,33,136727,1715,69,1,44,0,125,0,0,1,0
TCGA-63-A5MY-01,17241,110095,191425,473,0,272,18,358916,815,26,8,0,0,0,0,0,1,2
TCGA-66-2727-01,2169,19879,50270,90,101,252,20,62779,639,33,50,2,0,0,0,1,0,0
TCGA-66-2734-01,6423,10846,11801,34,275,19,3,16924,438,31,4,9,0,0,0,0,0,0
TCGA-66-2737-01,7959,16331,35008,64,9,77,4,48513,290,50,207,0,0,32,0,0,0,0
TCGA-66-2742-01,5708,5612,12061,23,6,261,4,15574,169,8,1,27,0,0,0,0,0,0
TCGA-66-2744-01,4848,10162,12932,43,654,223,17,20044,828,219,1,1,1,1,2,0,0,0
TCGA-66-2754-01,3590,109,22146,66,26,82,40,22415,43,4,2,6,1,0,0,0,0,0
TCGA-66-2755-01,2803,16823,8438,12,24,74,4,10823,583,14,4,0,0,11,12,0,11,1
TCGA-66-2759-01,14180,57341,32461,40,6,87,6,36293,382,14,3,0,0,0,0,0,0,0
TCGA-66-2763-01,4486,22682,24148,37,149,132,12,31814,685,57,7,0,0,0,0,0,0,0
TCGA-66-2765-01,10842,19638,10624,49,160,105,11,25044,539,12,1,0,0,0,0,0,0,0
TCGA-66-2766-01,7728,27498,72819,104,73,232,16,117536,357,26,2,0,0,1,0,0,0,0
TCGA-66-2767-01,2643,17149,26011,68,22,803,7,55814,1845,15,1,0,0,0,0,0,0,0
TCGA-66-2768-01,4171,39612,19256,31,829,448,23,27689,1714,22,20,1,0,0,1,0,0,0
TCGA-66-2770-01,4894,20032,10948,20,65,100,2,20788,544,14,246,0,0,0,8,1,0,0
TCGA-66-2771-01,3504,13483,4356,18,2,159,3,7092,521,21,0,0,0,0,0,0,0,0
TCGA-66-2777-01,4724,19363,25768,53,102,618,9,30954,1375,20,22,1,0,0,0,1,0,2
TCGA-66-2780-01,4879,24418,32224,44,16,110,3,60524,747,7,3,26,0,0,0,0,0,0
TCGA-66-2781-01,3022,33523,48645,54,8,890,12,60514,1154,11,1,2,0,0,0,0,0,0
TCGA-66-2782-01,2078,40521,60275,127,990,66,11,105656,883,14,2,26,0,0,0,0,0,0
TCGA-66-2783-01,9955,43130,19470,69,20,327,2,42202,334,7,192,0,1,0,1,0,0,0
TCGA-66-2785-01,2936,16633,60496,163,3,112,5,109660,2360,51,7,0,0,0,0,0,0,1
TCGA-66-2786-01,5911,13769,25003,55,232,183,5,58558,1045,18,23,4,0,0,0,1,0,0
TCGA-66-2787-01,3734,10107,41341,97,11,212,4,36876,129,29,753,0,1,1,0,0,0,0
TCGA-66-2788-01,7872,21524,17827,75,630,150,17,26735,430,62,126,8,0,0,0,0,0,0
TCGA-66-2789-01,3028,32407,42124,88,78,283,11,59102,781,61,3,0,0,0,0,0,0,0
TCGA-66-2790-01,5279,20424,18440,59,79,421,11,27569,740,39,31,5,0,1,26,0,0,18
TCGA-66-2791-01,3703,9082,14099,48,55,50,7,21573,165,12,238,1,0,1,0,4,0,0
TCGA-66-2792-01,8517,10596,28239,52,85,182,27,25541,153,105,23,2,0,0,1,0,0,0
TCGA-66-2793-01,3171,22079,90592,100,4,307,28,105772,431,14,12,6,0,0,0,0,0,0
TCGA-66-2794-01,2335,17300,45629,110,6,407,10,88985,454,25,141,0,0,1,1,0,1,0
TCGA-66-2800-01,3182,11412,23015,6,12,348,3,18366,508,25,153,0,0,7,0,0,0,0
TCGA-68-7755-01,15902,37034,35271,60,13,381,5,42176,511,28,38,0,2,0,2,1,0,2
TCGA-68-7756-01,15857,42759,52785,94,994,252,4,92926,1988,17,19,0,1,0,2,1,0,0
TCGA-68-7757-01,5541,44578,108560,227,259,285,3,205136,1380,79,6,1,0,0,0,0,0,0
TCGA-68-8250-01,7443,71063,93273,116,150,1915,26,134223,4800,38,5,4,0,0,1,2,3,0
TCGA-68-8251-01,5110,48976,80760,117,26,280,7,128157,2121,10,38,2,0,1,0,0,0,0
TCGA-68-A59I-01,1409,29845,54602,113,83,480,14,96670,1583,48,40,3,1,38,0,0,0,0
TCGA-68-A59J-01,10682,48994,95348,219,59,115,13,192121,4700,72,131,0,2,0,2,1,1,0
TCGA-6A-AB49-01,8742,105872,64028,330,29,743,41,68600,2288,155,22,2,1,0,0,0,2,0
TCGA-70-6722-01,1106,25500,30779,30,143,192,4,53178,1013,30,2,3,1,0,0,0,1,0
TCGA-70-6723-01,5898,61777,220268,232,165,169,7,490061,225,60,1,0,92,1,0,0,0,0
TCGA-77-6842-01,29001,123114,249794,249,3,491,44,363769,3196,160,53,0,1,255,0,0,1,0
TCGA-77-6843-01,5909,192204,155553,229,160,944,36,236580,1538,82,1673,3,0,3,1,42,3,0
TCGA-77-6844-01,9704,205903,29573,16,213,799,26,28444,1071,7,12,0,0,0,0,0,0,0
TCGA-77-6845-01,42922,154616,138322,159,11,100,113,121583,915,36,9,0,0,0,0,1,0,0
TCGA-77-7139-01,3956,127940,93085,183,3,251,19,124268,687,9,18,0,0,1,0,0,0,0
TCGA-77-7141-01,2845,93382,99521,224,64,1441,12,184529,1585,13,368,1,1,3,1,1,0,0
TCGA-77-7142-01,5017,26843,17919,57,9,222,18,16373,2170,18,4,0,0,0,0,3,0,0
TCGA-77-7335-01,9478,41600,40085,137,19,64,3,86493,1252,41,24,0,0,0,1,0,0,0
TCGA-77-7338-01,18503,154254,54476,131,261,143,15,100829,3137,12,165,1,1,0,0,39,0,0
TCGA-77-7463-01,11278,249060,67822,153,69,1073,33,71004,4624,23,27,1,0,5,0,0,0,0
TCGA-77-7465-01,9197,133867,36972,153,190,1049,16,74108,1536,18,0,1,1,162,0,1,0,0
TCGA-77-8007-01,9539,141,21843,42,347,1468,16,36129,738,19,1,2,0,0,0,0,0,0
TCGA-77-8009-01,18748,54645,82559,226,203,151,9,199539,1039,45,8305,10,3,7,0,18,1,0
TCGA-77-8128-01,13976,61038,63509,110,19,547,54,68671,564,12,6,3,2,21,1,1,0,0
TCGA-77-8130-01,6652,54018,23533,44,328,85,1,43193,604,17,3,2,0,0,0,0,0,0
TCGA-77-8131-01,9411,41373,7931,45,34,1132,7,19411,5176,51,18,9,2,1,1,1,0,0
TCGA-77-8133-01,5653,81256,52539,193,25,535,18,118625,1300,18,3,0,0,66,0,0,0,0
TCGA-77-8136-01,24085,38390,12928,20,827,141,23,21732,2522,58,60,19,1,0,0,0,0,0
TCGA-77-8138-01,3678,34351,18775,31,323,23,5,26634,1061,35,2,0,0,1,1,0,0,0
TCGA-77-8139-01,4283,39720,55636,125,177,34,20,67087,538,27,2,0,0,1,0,0,0,0
TCGA-77-8140-01,3062,51873,30437,84,1,87,24,39081,2718,20,4,0,0,0,0,0,0,0
TCGA-77-8143-01,3985,33834,21084,22,31,60,2,24100,639,4,27,0,0,0,0,0,0,0
TCGA-77-8144-01,3235,28858,3652,12,270,15,2,6220,607,6,3,2,0,0,0,0,0,0
TCGA-77-8145-01,19498,97861,29619,97,83,356,9,40567,846,32,641,9,1,6,0,0,0,0
TCGA-77-8146-01,6628,53951,90458,178,447,460,3,178476,2223,4,7,3,2,0,0,1,0,0
TCGA-77-8148-01,10415,66969,67234,155,32,111,16,109031,453,36,5,3,1,84,0,0,0,0
TCGA-77-8150-01,2776,52899,36211,253,10,1181,7,76391,1167,21,0,0,0,0,0,0,0,0
TCGA-77-8153-01,10070,69209,108230,216,47,137,39,121013,857,16,22,2,0,0,0,0,0,0
TCGA-77-8154-01,4008,74484,28462,71,20,43,8,40900,887,20,0,0,0,0,0,0,0,0
TCGA-77-A5FZ-01,1998,1565,7849,33,3,960,1,28757,17354,33,5,5,0,0,3,1,0,0
TCGA-77-A5G1-01,6175,25219,45679,94,240,1221,13,148751,8390,76,27,8,0,0,3,0,0,1
TCGA-77-A5G3-01,19525,98145,157521,422,62,196,150,574283,2098,46,65,3,0,0,0,0,0,0
TCGA-77-A5G6-01,4841,62496,39437,107,0,208,17,131437,1657,55,5,12,1,3,0,1,0,0
TCGA-77-A5G7-01,3914,36747,31281,125,16,340,13,123584,4182,8,0,1,1,0,1,1,0,0
TCGA-77-A5G8-01,6284,130023,30646,196,287,237,7,127366,1838,29,117,27,0,1,0,0,0,0
TCGA-77-A5GA-01,2111,46465,43360,158,26,242,5,144763,3106,9,26,3,3,0,0,1,0,0
TCGA-77-A5GB-01,6088,50653,11123,56,443,78,1,48292,3645,29,16,23,7,0,0,0,0,0
TCGA-77-A5GF-01,4626,71187,170622,400,84,545,13,464885,2817,23,65,1,2,1,0,7,1,0
TCGA-77-A5GH-01,5747,69813,93157,284,7,205,9,333830,1820,20,5,1,1,11,5,0,1,0
TCGA-85-6175-01,1523,16817,29293,28,71,215,2,85877,757,18,15,1,0,0,2,0,0,0
TCGA-85-6560-01,1524,510,28657,13,0,220,4,33744,351,6,2,34,0,3,274,0,0,25
TCGA-85-6798-01,31991,228894,227479,443,208,347,122,274505,1232,101,1323,13,2,7,2,54,0,1
TCGA-85-7696-01,11382,97057,30150,97,159,105,2,64813,850,22,2187,0,2,16,5,1,0,0
TCGA-85-7697-01,7613,64044,23126,51,444,106,24,33404,2465,24,241,5,6,3,4,0,0,0
TCGA-85-7698-01,10617,64291,39131,99,275,370,8,66206,1041,18,42,1,0,0,0,0,0,0
TCGA-85-7699-01,3403,28508,37205,90,59,33,16,66492,727,15,12,2,0,32,0,0,1,0
TCGA-85-7710-01,45075,56019,17953,47,187,54,2,34621,506,5,6,4,0,0,0,0,0,0
TCGA-85-7843-01,7863,42107,33244,55,117,92,4,31757,1148,6,40,3,0,3,4,0,1,1
TCGA-85-7844-01,19960,118746,82556,203,182,2425,22,165753,2863,40,4723,70,1,29,2,8,0,2
TCGA-85-7950-01,15832,56444,53978,160,67,73,37,137119,1134,113,148,8,1,2,0,5,496,0
TCGA-85-8052-01,19626,97036,49513,116,145,123,13,69061,1531,33,31,5,0,28,0,1,1,1
TCGA-85-8070-01,29256,245633,155453,814,133,737,28,415587,456,11,2,0,0,0,0,1,1,0
TCGA-85-8071-01,32592,102554,111386,182,294,131,15,132814,551,51,28,6,0,0,4,1,0,0
TCGA-85-8276-01,4567,10332,14684,23,8,137,5,14765,284,19,2,0,3,0,0,0,0,0
TCGA-85-8288-01,7405,57955,26962,69,32,164,20,34972,617,16,3,3,0,1,0,0,45,0
TCGA-85-8350-01,10105,37850,28569,76,128,1167,8,62156,2597,50,6,4,1,8,0,1,1,10
TCGA-85-8479-01,6746,63598,30464,43,123,62,5,63515,857,7,12,0,0,0,0,0,0,0
TCGA-85-8481-01,5151,47948,47296,49,283,1209,10,71087,1604,22,3,28,0,0,1,0,0,0
TCGA-85-8584-01,4995,2476,23804,59,8,868,5,48308,3146,38,11,0,0,0,0,0,0,0
TCGA-85-A4CL-01,6559,83728,43983,232,8,73,3,110424,891,65,139,7,0,5,1,0,1,0
TCGA-85-A4CN-01,4632,53971,69139,176,16,32,7,114060,622,32,76,0,0,0,0,3,0,0
TCGA-85-A4JB-01,8197,49729,84202,250,327,959,42,128286,2334,97,7,3,0,0,0,0,1,2
TCGA-85-A4JC-01,8975,119829,35541,124,393,132,15,80516,9718,40,46,65,0,0,0,0,0,0
TCGA-85-A4PA-01,1327,703,3925,21,16,2878,8,14229,4120,21,6,0,0,1,0,1,0,1
TCGA-85-A4QQ-01,3437,94381,19618,60,802,182,4,40703,2226,3,73,12,0,0,0,3,0,0
TCGA-85-A4QR-01,8332,99393,129729,455,54,544,48,201096,1063,90,3,3,0,0,0,2,0,0
TCGA-85-A50M-01,8265,39324,58153,265,452,1344,4,168893,2286,99,6,222,7,0,0,0,0,0
TCGA-85-A50Z-01,7429,74255,60266,203,495,122,12,96611,4072,42,0,31,2,0,0,0,0,0
TCGA-85-A510-01,8974,3280,40515,126,1,2769,45,75099,2327,91,615,27,1,0,1,0,1,0
TCGA-85-A511-01,8126,46958,35249,95,70,69,7,66716,2096,49,7,4,0,0,0,0,0,0
TCGA-85-A512-01,8178,40978,65611,211,152,179,12,177518,1157,26,5,2,1,0,0,1,0,0
TCGA-85-A513-01,1507,597,15905,54,12,1119,5,44371,11613,15,7,110,5,1,1,0,1,0
TCGA-85-A53L-01,15553,74251,40930,113,33,258,16,73917,5137,28,8,139,1,0,0,0,1,0
TCGA-85-A5B5-01,6802,56025,80608,354,15,21,11,235140,689,13,295,15,0,3,0,1,1,0
TCGA-90-6837-01,1115,31,13097,14,2,3454,3,34760,22283,29,1,0,22,0,3,0,9,0
TCGA-90-7767-01,14963,160469,64283,120,43,831,41,90440,492,20,119,3,3,101,5,0,6,0
TCGA-90-7769-01,5488,60149,60575,148,52,232,15,86166,400,7,100,1,1,0,0,2,0,0
TCGA-90-A4ED-01,12679,97562,148374,881,22,752,7,588398,706,15,1,5,2,0,0,4,0,0
TCGA-90-A4EE-01,7048,29600,52477,132,2,198,4,95655,1332,49,275,1,0,2,1,1,9,0
TCGA-90-A59Q-01,3424,25714,9451,39,74,22,3,30755,6145,25,2,0,0,0,0,0,0,0
TCGA-92-8063-01,6439,34061,49410,89,191,102,5,66275,994,31,6,89,0,0,1,0,0,1
TCGA-92-8064-01,17263,20655,42064,73,258,219,11,61054,525,24,6,0,1,0,0,0,0,0
TCGA-92-8065-01,1143,25852,12755,18,506,93,0,21906,587,14,35,0,0,0,0,0,0,0
TCGA-94-7033-01,11558,25498,28533,85,1412,255,18,38885,1670,38,13,1,0,0,0,0,0,2
TCGA-94-7557-01,10843,79021,20551,49,1,162,8,33820,1307,26,18,0,0,0,0,1,0,0
TCGA-94-7943-01,7122,27542,89387,204,1,1008,20,181078,2257,32,8,0,4,0,0,0,0,0
TCGA-94-8035-01,12861,139757,54241,68,210,248,20,58937,2345,7,1347,8,0,0,0,0,0,1
TCGA-94-8490-01,6614,58874,45179,81,7,423,8,63646,1651,5,58,0,0,1,0,0,0,0
TCGA-94-8491-01,884,88905,49456,118,23,751,6,94849,3062,23,7,0,16,1,5,0,0,0
TCGA-94-A4VJ-01,11057,149142,14806,38,2530,282,21,29925,2507,64,9,6,0,0,0,0,0,0
TCGA-94-A5I4-01,17820,74114,89567,384,37,244,18,285345,2831,66,3,0,0,0,0,1,0,1
TCGA-94-A5I6-01,7889,46817,129407,176,52,271,19,284483,2832,48,447,6,0,9,0,57,1,9
TCGA-96-7544-01,7322,66074,48508,97,36,378,12,70486,975,23,69,0,0,1,2,0,1,0
TCGA-96-8169-01,784,24362,19706,25,78,159,7,31633,514,14,15,23,1,0,0,0,0,0
TCGA-96-8170-01,1641,20425,9181,32,3,85,4,17076,443,6,4,1,1,0,0,0,0,0
TCGA-96-A4JK-01,10180,56180,50485,146,5,335,5,115141,3389,23,3,0,0,1,0,0,1,0
TCGA-96-A4JL-01,1838,118058,140230,673,42,1382,5,503020,4661,63,660,0,0,11,3,0,0,0
TCGA-98-7454-01,2241,10569,9413,16,316,285,2,15886,3421,10,2,0,0,0,0,0,0,0
TCGA-98-8022-01,2572,57689,38702,125,168,405,5,93788,2788,23,3,1,1,1,1,0,0,13
TCGA-98-8023-01,3733,54158,20405,91,10,144,4,41430,879,8,46,3,0,0,1,0,0,0
TCGA-98-A538-01,22909,27899,29082,103,273,26,6,38763,1068,41,2,5,1,0,0,0,0,0
TCGA-98-A539-01,12019,42177,48952,225,128,834,12,106289,4390,25,5,0,0,0,0,1,0,0
TCGA-98-A53A-01,4092,102662,12761,46,53,31,12,21688,1262,8,179,0,1,6,0,2,0,0
TCGA-98-A53B-01,7790,73162,78140,179,2,467,12,141298,2137,63,11,0,2,0,0,0,2,0
TCGA-98-A53C-01,1476,2644,12015,39,12,2729,4,33072,14129,18,3,0,4,0,0,0,0,0
TCGA-98-A53D-01,1103,445,6449,38,7,1407,3,18229,10344,33,2,1,7,0,0,0,0,0
TCGA-98-A53H-01,809,9002,10858,70,41,2164,3,31550,8415,33,202,3,0,2,1,0,2,0
TCGA-98-A53I-01,3607,42045,59327,256,32,277,3,168677,2763,19,91,0,1,0,1,2,0,0
TCGA-98-A53J-01,12921,128619,35580,210,91,394,2,104329,1736,24,44,17,0,0,3,1,0,0
TCGA-J1-A4AH-01,13900,96607,112481,405,69,460,25,190550,3228,34,1148,2,0,377,3,4,1,7
TCGA-L3-A4E7-01,16703,79438,48338,213,1573,176,9,119584,6050,57,3,0,0,0,0,2,0,0
TCGA-L3-A524-01,10379,62977,114337,345,3,179,64,192699,2734,30,276,2,477,2,0,0,0,0
TCGA-LA-A446-01,10493,59795,63359,251,1,1152,13,140164,5074,10,195,4,0,0,0,0,0,0
TCGA-LA-A7SW-01,3452,154411,36671,75,374,512,27,35075,3241,139,65,58,0,0,5,0,2,1
TCGA-MF-A522-01,4501,103185,42789,187,230,57,10,94050,1562,27,2,1,0,0,0,0,1,0
TCGA-NC-A5HD-01,20619,239907,58344,201,50,92,88,111304,2490,45,0,4,2,0,0,0,0,0
TCGA-NC-A5HE-01,3513,57808,78465,283,36,367,8,221107,1706,21,11,24,0,1,0,0,0,0
TCGA-NC-A5HF-01,21529,103829,98600,237,13,217,9,225494,1998,29,52,136,0,0,3,0,0,0
TCGA-NC-A5HG-01,9495,111232,43656,240,180,181,29,124218,1518,19,1,1,0,0,0,0,0,0
TCGA-NC-A5HH-01,16237,218004,50679,277,191,485,27,139158,1432,65,2,2,1,0,0,1,0,1
TCGA-NC-A5HI-01,8400,64798,101605,303,2,165,24,207300,906,34,6,5,0,0,0,0,0,0
TCGA-NC-A5HJ-01,4758,424,73150,233,89,693,15,185810,14508,14,1,1,0,0,1,0,0,0
TCGA-NC-A5HK-01,12152,184145,18988,105,845,265,11,58122,1054,19,4,2,1,0,478,0,0,76
TCGA-NC-A5HL-01,9286,65126,64634,145,204,194,9,147297,1430,44,9,1,0,0,0,0,0,0
TCGA-NC-A5HM-01,22695,65066,44839,122,2381,146,22,95648,1290,41,4,1,0,0,0,1,0,0
TCGA-NC-A5HN-01,16255,106972,49654,203,134,905,10,138407,323,33,2,0,0,0,0,1,1,0
TCGA-NC-A5HO-01,6309,98605,30225,213,16,63,3,105932,2515,19,4,2,0,0,0,0,0,0
TCGA-NC-A5HP-01,14354,69674,44113,144,24,439,3,126579,1184,39,521,23,0,0,1,0,0,0
TCGA-NC-A5HQ-01,10548,47216,30486,108,524,237,2,92616,2118,25,4,1,1,0,3,0,0,1
TCGA-NC-A5HR-01,8724,70424,82571,360,213,285,13,201233,2528,45,3,11,0,1,1,0,1,0
TCGA-NC-A5HT-01,6674,72913,194967,535,18,283,55,414491,2084,120,203,0,0,0,0,0,1,0
TCGA-NK-A5CR-01,11896,52894,245065,583,25,64,21,495449,1287,19,8,0,0,0,1,0,2,0
TCGA-NK-A5CT-01,11693,55382,45053,102,148,178,3,99288,3296,35,6,4,0,0,0,1,3,0
TCGA-NK-A5CX-01,11799,41133,36545,113,896,49,4,97947,1191,37,17,9,1,0,0,0,0,0
TCGA-NK-A5D1-01,21628,52954,129623,493,523,29,44,281924,6192,22,15,1,0,2,0,0,0,0
TCGA-NK-A7XE-01,5893,99583,32878,102,362,646,17,45299,3124,7,5,0,0,0,0,0,0,0
TCGA-O2-A52N-01,11718,132123,24842,124,1048,37,4,76996,1429,17,12,18,2,0,0,0,0,3
TCGA-O2-A52Q-01,11949,10264,24843,211,847,164,9,79602,1202,123,37,268,0,0,1,0,0,0
TCGA-O2-A52S-01,11146,22065,26223,70,3,60,19,39282,1552,53,1013,0,0,0,0,1,1,0
TCGA-O2-A52V-01,4823,56971,69011,202,63,1100,12,126264,1883,81,33,3,3,0,1,0,0,0
TCGA-O2-A52W-01,4809,65393,41735,145,98,589,13,95696,4144,10,2,9,0,0,1,0,1,0
TCGA-O2-A5IB-01,12972,803,236946,508,2,60,57,662884,698,23,2,1,1,5,0,0,0,0
TCGA-XC-AA0X-01,4751,41498,32772,86,92,722,10,53707,3121,18,35,0,1,0,0,0,0,0
